component, qty, cost, why, source
pcb, 5, $13, main, https://robu.in/product/online-pcb-manufacturing-service/
JST XH Pitch Plug and Socket, 5, $1, connect battery, https://robu.in/product/2-pin-jst-xh-2-54mm-pitch-plug-and-socket-with-cable-10-pcs/
0.1uF 1206 Capacitor, 55, $1.5, 11 per pcb, https://robu.in/product/0-1uf-capacitor-smdc-1206/
10uF 1206 Capacitor, 15, $2.3, 3 per pcb, https://robu.in/product/10uf-10000nf-50v-capacitor-1206-smd-package-pack-of-5/
100nF 1206 Capacitor, 10, $1, 2 per pcb, https://robu.in/product/100nf-1206-surface-mount-multilayer-ceramic-capacitor-pack-of-30/
22uF 1206 Capacitor, 10, $1, 2 per pcb, https://robu.in/product/1206x226m250nt-fh-25v-22uf-x5r%c2%b120-1206-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/
1N5819 Schottky Diodes, 5, $1.7, one way current flow, https://robu.in/product/1-month-warranty-1053/
LED 1206 Package, 15, $1, 3 per pcb, https://robu.in/product/xl-3216uoc-fb-xinglight-reverse-mount-orange-120-1206-led-indication-discrete-rohs/
SS34 Schottky Diodes ROHS, 5, $4.5, non reversible current, https://robu.in/product/ss34-onsemi-40v-500mv3a-3a-smcdo-214ab-schottky-diodes-rohs/
LL43-GS08 Rectifier Diode, 5, $5, no current backflow, https://www.lioncircuits.com/parts/LL43-GS08
DM3AT-SF-PEJM5 Micro SD socket, 5, $25, flight logs, https://www.lioncircuits.com/parts/DM3AT-SF-PEJM5
GCT USB4105 (USB C) Connector, 5, $8, flash and debug, https://www.lioncircuits.com/parts/USB4105-GF-A
2.54mm Male pin header, 25, $5, for motor connections, https://robu.in/product/2-54mm-1x40-pin-male-single-row-straight-short-header-strip-pack-of-3/
4.7uH 1206 Inductor, 5, $2.2, for impedance, https://robu.in/product/lqm31pn4r7m00l-murata-electronics-700ma-4-7uh-%c2%b120-375m%cf%89-1206-inductors-smd-rohs/
FS8205A Mosfets, 5, $1, , https://robu.in/product/1-month-warranty-398/
10k 1206 Resistors, 20, $1, 4 per pcb, https://robu.in/product/rc1206fr-0710kl-yageo-res-thick-film-1206-10k-ohm-1-0-25w1-4w-%c2%b1100ppm-c-pad-smd-t-r/
110k 1206 Resistors, 5, $1, resist current, https://robu.in/product/1206w4f1103t5e-uniohm-royal-ohm-250mw-thick-film-resistors-200v-%c2%b1100ppm-%e2%84%83%c2%b11-110k%cf%89-1206-chip-resistor-surface-mount-rohs/
15k 1206 Resistors, 5, $1, resist current, https://robu.in/product/1206w4f1502t5e-uniohm-royal-ohm-250mw-thick-film-resistors-200v-%c2%b1100ppm-%e2%84%83-%c2%b11-15k%cf%89-1206-chip-resistor-surface-mount-rohs/
1k 1206 Resistors, 20, $1, 4 per pcb, https://robu.in/product/wr12x1001ftl-walsin-250mw-thick-film-resistors-200v-%c2%b1100ppm-%e2%84%83-%c2%b11-1k%cf%89-1206-chip-resistor-surface-mount-rohs/
2k 1206 Resistors, 10, $1, 2 per pcb, https://robu.in/product/wr12x2001ftl-walsin-250mw-thick-film-resistors-200v-%c2%b1100ppm-%e2%84%83-%c2%b11-2k%cf%89-1206-chip-resistor-surface-mount-rohs/
